No;% accepted last year;% immediately rejected last year;Articles published last year;Average number of review reports;Average number of review rounds;Decision time immediate rejection;Difficulty of reviewer comments;Duration first review;Five-year impact factor;Issues per year;Journal link;Kind of complaint procedure;Manuscript handling fee?;Manuscripts received last year;Open access status;Overall rating manuscript handlingOverall rating manuscript handling;Quality of review reports;Total handling time accepted manuscripts;Two-year impact factor
0.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;2.0;0.7 mnths;['n/a'];['n/a'];https://scirev.org/journal/acta-oto-laryngologica/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.3;1.5 mnths;['n/a']
1.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;5.0;1.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/sleep-and-breathing/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;5.0;1.8 mnths;['n/a']
2.0;['n/a'];['n/a'];['n/a'];1.5;1.5;;3.0;0.6 mnths;['n/a'];['n/a'];https://scirev.org/journal/frontiers-in-neurology-neuro-otology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.5;0.7 mnths;['n/a']
3.0;['n/a'];['n/a'];['n/a'];2.0;1.0;;;1.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/head-and-neck/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.0;1.0 mnths;['n/a']
4.0;['n/a'];['n/a'];['n/a'];2.0;2.0;;2.0;3.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/oral-diseases/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;3.2 mnths;['n/a']
5.0;['n/a'];['n/a'];['n/a'];3.0;2.0;;2.0;2.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/clinical-otolaryngology/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;3.0;2.5 mnths;['n/a']
6.0;['n/a'];['n/a'];['n/a'];2.0;3.0;;4.0;2.6 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-speech-language-pathology/;['n/a'];['n/a'];['n/a'];['n/a'];1.0 ;3.0;7.3 mnths;['n/a']
7.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/journal-of-oral-and-maxillofacial-surgery/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;;;['n/a']
8.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/international-tinnitus-journal/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
9.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/orthodontics-and-craniofacial-research/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
10.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/current-opinion-in-otolaryngology-and-head-and-neck-surgery/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
11.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/indian-journal-of-otology/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
12.0;['n/a'];['n/a'];['n/a'];;;;;;['n/a'];['n/a'];https://scirev.org/journal/operative-techniques-in-otolaryngology-head-and-neck-surgery/;['n/a'];['n/a'];['n/a'];['n/a'];;;;['n/a']
